# halo-id  ra  dec  vres  m200  vdisp200  r200  Ngal  M200err(stat)  M200err(syst)  N200
   1  0.866  0.429  24326  8.1e+14   916  1.8   383  0.08  0.01   285
   2  0.204  0.038  43486  5.6e+14   817  1.6   805  0.05  0.01   228
   3  0.310  0.970  41537  6.6e+14   863  1.7   343  0.08  0.01   179
   4  0.776  0.462  25398  9.1e+14   954  1.9   410  0.06  0.00   276
   5  0.163  0.065  44131  1.9e+14   572  1.1   298  0.21  0.01    91
   6  0.293  0.209  29561  2.8e+14   641  1.3   341  0.17  0.01   110
   7  0.720  0.692  32812  5.3e+14   797  1.6   302  0.13  0.01   128
   8  0.001  0.639  40093  2.3e+14   607  1.2   242  0.18  0.01    94
   9  0.750  0.101  39347  2.8e+14   643  1.3   396  0.19  0.01    99
  10  0.530  0.783  44026  1.9e+14   565  1.1   255  0.17  0.01    80
  11  0.706  0.474  16118  3.5e+14   692  1.4   192  0.10  0.01   119
  12  0.190  0.894  25115  4.2e+14   738  1.5   171  0.11  0.01   104
  13  0.624  0.392  34247  3.2e+14   673  1.3   287  0.18  0.01   111
  14  0.634  0.011  14255  3.0e+14   650  1.3   192  0.12  0.01   120
  15  0.773  0.464  25197  7.9e+14   909  1.8   357  0.08  0.01   229
  16  0.652  0.082  33537  3.6e+14   699  1.4   276  0.16  0.01    92
  17  0.094  0.700  24672  4.6e+14   757  1.5   154  0.12  0.01    97
  18  0.760  0.722  40393  3.1e+14   670  1.3   211  0.14  0.01    73
  19  0.786  0.053  35059  2.1e+14   584  1.2   350  0.19  0.01    97
  20  0.443  0.300  40108  3.0e+14   661  1.3   481  0.17  0.01    94
  21  0.174  0.141  24456  3.9e+14   715  1.4   352  0.12  0.01   103
  22  0.146  0.092  44093  1.4e+14   517  1.0   262  0.12  0.01    72
  23  0.608  0.874  26539  1.0e+15   993  2.0   282  0.08  0.00   167
  24  0.060  0.054  27478  4.6e+14   757  1.5   248  0.17  0.01   106
  25  0.818  0.181  25976  2.3e+14   602  1.2   163  0.25  0.01    78
  26  0.970  0.908  11564  3.3e+14   676  1.4    84  0.11  0.01    80
  27  0.299  1.030  23185  3.4e+14   687  1.4   139  0.13  0.01    87
  28  0.664  0.621  41799  3.7e+14   713  1.4   194  0.20  0.01    94
  29  0.278  0.125  38941  3.7e+14   711  1.4   253  0.17  0.01    90
  30  1.001  0.923  29355  1.9e+14   570  1.1   186  0.16  0.01    91
  31  0.860  0.402  24530  3.2e+14   671  1.3   201  0.16  0.01    96
  32  0.717  0.453  24958  3.3e+14   679  1.4   225  0.09  0.01    88
  33  0.738  0.576  32601  3.4e+14   690  1.4   265  0.20  0.01    99
  34  0.206  0.044  43467  2.7e+14   643  1.3   807  0.06  0.01    89
  35  0.219  0.623  38271  3.4e+14   688  1.3   216  0.26  0.01    60
  36  0.237  0.826  36668  2.4e+14   616  1.2   251  0.20  0.01    97
  37  0.576  0.670  29503  2.7e+14   636  1.3   221  0.21  0.01   106
  38  0.900  0.306  38094  2.3e+14   607  1.2   376  0.21  0.01    80
  39  0.044  0.668   5062  4.3e+14   737  1.5   100  0.10  0.01   100
  40  0.901  0.051  42566  3.7e+14   708  1.4   408  0.18  0.01    93
  41  0.458  0.813  38362  1.3e+14   494  1.0   229  0.24  0.01    48
  42  0.743  0.436  24957  3.1e+14   665  1.3   219  0.08  0.01    79
  43  1.001  0.175  32201  1.8e+14   560  1.1   296  0.14  0.01    59
  44  0.414  0.583  39402  2.5e+14   620  1.2   200  0.22  0.01    79
  45  0.172  0.100  39436     -1      -1   -1   286    -1    -1    -1
