# halo-id  galaxy-id  within-r200?
   1  411179  0
   1  413059  0
   1  412989  0
   1  411582  0
   1  409939  0
   1  413007  0
   1  409430  0
   1  409431  0
   1  412643  0
   1  434578  0
   1  413061  0
   1  435196  0
   1  409423  0
   1  409935  0
   1  412153  0
   1  409932  0
   1  409421  0
   1  409950  0
   1  409936  0
   1  409931  0
   1  409914  0
   1  411396  0
   1  409906  0
   1  409946  0
   1  409941  0
   1  409940  0
   1  411397  0
   1  433953  0
   1  409948  0
   1  409930  0
   1  409422  0
   1  410356  0
   1  409420  0
   1  410354  0
   1  411178  0
   1  409942  0
   1  409944  0
   1  412603  0
   1  409929  0
   1  409424  0
   1  409938  0
   1  410355  0
   1  409937  0
   1  409425  0
   1  410357  0
   1  409945  0
   1  411121  0
   1  409923  0
   1  409907  0
   1  409922  0
   1  409905  0
   1  409920  0
   1  412490  0
   1  410359  0
   1  410358  0
   1  409925  0
   1  409928  0
   1  409426  0
   1  409917  0
   1  409910  0
   1  409919  0
   1  409924  0
   1  432884  0
   1  410580  0
   1  409913  0
   1  410352  0
   1  432886  0
   1  432889  0
   1  409949  0
   1  409918  0
   1  432887  0
   1  409921  0
   1  409916  0
   1  432885  0
   1  409926  0
   1  432888  0
   1  433578  0
   1  435060  0
   1  410351  0
   1  410348  0
   1  410347  0
   1  410350  0
   1  433645  0
   1  431881  0
   1  410578  0
   1  433579  0
   1  409954  0
   1  410349  0
   1  410579  0
   1  431892  0
   1  431878  0
   1  433999  0
   1  431879  0
   1  412791  0
   1  431890  0
   1  431900  0
   1  431874  0
   1  409953  0
   1  411255  0
   1  433757  0
   1  410353  0
   1  409429  0
   1  435024  0
   1  434000  0
   1  431896  0
   1  431880  0
   1  431884  0
   1  409442  0
   1  409428  0
   1  431898  0
   1  409441  0
   1  431872  0
   1  410360  0
   1  409418  0
   1  431886  0
   1  431875  0
   1  431876  0
   1  431883  0
   1  431887  0
   1  431888  0
   1  409951  0
   1  431899  0
   1  431877  0
   1  431882  0
   1  431889  0
   1  431885  0
   1  434107  0
   1  411618  0
   1  411139  0
   1  411254  0
   1  431893  0
   1  409427  0
   1  412196  0
   1  411011  0
   1  412197  0
   1  431891  0
   1  411375  0
   1  411924  0
   1  431914  0
   1  431894  0
   1  434647  0
   1  431902  0
   1  412631  0
   1  411684  0
   1  431907  0
   1  409434  0
